sub_county,total_population,male,female,households,conventional_households,group_quarters,land_area_sq_km,population_density
VIHIGA,590013.0,283678.0,306323.0,143365.0,143288.0,77.0,564.0,1047.0
EMUHAYA,97141.0,46507.0,50633.0,23804.0,23803.0,1.0,89.0,1091.0
VIHIGA,95292.0,45788.0,49501.0,23375.0,23359.0,16.0,90.0,1058.0
SABATIA,131628.0,62944.0,68683.0,31422.0,31391.0,31.0,111.0,1181.0
LUANDA,106694.0,51525.0,55165.0,26766.0,26766.0,,84.0,1265.0
HAMISI,159241.0,76901.0,82337.0,37986.0,37965.0,21.0,157.0,1013.0
KAKAMEGA FOREST,17.0,13.0,4.0,12.0,4.0,8.0,32.0,1.0
BUNGOMA,1670570.0,812146.0,858389.0,358796.0,357714.0,1082.0,3024.0,552.0
BUMULA,215892.0,103368.0,112523.0,44954.0,44922.0,32.0,345.0,625.0
BUNGOMA CENTRAL,177748.0,86302.0,91438.0,37803.0,37535.0,268.0,233.0,764.0
BUNGOMA EAST,114548.0,55775.0,58771.0,24873.0,24798.0,75.0,163.0,702.0
BUNGOMA NORTH,121317.0,58790.0,62526.0,24998.0,24940.0,58.0,192.0,633.0
BUNGOMA SOUTH,287765.0,139705.0,148055.0,69151.0,69088.0,63.0,321.0,896.0
CHEPTAIS,136035.0,67717.0,68312.0,26326.0,26007.0,319.0,223.0,610.0
KIMILILI,162038.0,78560.0,83475.0,35263.0,35053.0,210.0,180.0,902.0
MT ELGON,78873.0,38977.0,39893.0,15276.0,15230.0,46.0,126.0,624.0
BUNGOMA WEST,119875.0,58225.0,61649.0,25172.0,25166.0,6.0,211.0,568.0
TONGAREN,100343.0,48685.0,51657.0,21343.0,21343.0,,185.0,542.0
WEBUYE WEST,152515.0,74180.0,78331.0,32839.0,32834.0,5.0,239.0,638.0
MT ELGON FOREST,3621.0,1862.0,1759.0,798.0,798.0,,606.0,6.0
BUSIA,893681.0,426252.0,467401.0,198152.0,197944.0,208.0,1700.0,526.0
BUNYALA,85977.0,41465.0,44511.0,19039.0,19028.0,11.0,192.0,447.0
BUSIA,142408.0,69034.0,73373.0,33160.0,33152.0,8.0,196.0,727.0
BUTULA,140334.0,65136.0,75195.0,32213.0,32199.0,14.0,247.0,568.0
NAMBALE,111636.0,52900.0,58732.0,23892.0,23889.0,3.0,238.0,469.0
SAMIA,107176.0,50821.0,56341.0,23884.0,23813.0,71.0,262.0,408.0
TESO NORTH,138034.0,66412.0,71619.0,29395.0,29314.0,81.0,261.0,529.0
TESO SOUTH,168116.0,80484.0,87630.0,36569.0,36549.0,20.0,303.0,555.0
SIAYA,993183.0,471669.0,521496.0,250698.0,249341.0,1357.0,2530.0,393.0
SIAYA,224343.0,105906.0,118433.0,57553.0,57386.0,167.0,599.0,375.0
GEM,179792.0,85696.0,94092.0,44884.0,44696.0,188.0,405.0,444.0
UGENYA,134354.0,62624.0,71726.0,33565.0,33554.0,11.0,324.0,415.0
UGUNJA,104241.0,48912.0,55329.0,26328.0,26321.0,7.0,201.0,519.0
BONDO,197883.0,95962.0,101917.0,51362.0,50454.0,908.0,599.0,330.0
RARIEDA,152570.0,72569.0,79999.0,37006.0,36930.0,76.0,402.0,379.0
KISUMU,1155574.0,560942.0,594609.0,300745.0,296846.0,3899.0,2085.0,554.0
KISUMU EAST,220997.0,108304.0,112689.0,61871.0,61499.0,372.0,142.0,1560.0
KISUMU CENTRAL,174145.0,84155.0,89985.0,52331.0,52163.0,168.0,37.0,4737.0
KISUMU WEST,172821.0,85697.0,87121.0,45933.0,42785.0,3148.0,209.0,827.0
SEME,121667.0,57658.0,64007.0,29404.0,29404.0,,268.0,454.0
MUHORONI,154116.0,76770.0,77345.0,37193.0,36982.0,211.0,658.0,234.0
NYANDO,161508.0,77121.0,84380.0,38460.0,38460.0,,446.0,362.0
NYAKACH,150320.0,71237.0,79082.0,35553.0,35553.0,,327.0,460.0
HOMA BAY,1131950.0,539560.0,592367.0,262036.0,260290.0,1746.0,3153.0,359.0
HOMA BAY,117439.0,55756.0,61681.0,29318.0,28471.0,847.0,182.0,645.0
NDHIWA,218136.0,103706.0,114422.0,48062.0,47956.0,106.0,713.0,306.0
RACHUONYO NORTH,178686.0,85409.0,93273.0,41809.0,41661.0,148.0,435.0,410.0
RACHUONYO EAST,121822.0,57709.0,64111.0,27319.0,27229.0,90.0,251.0,486.0
RACHUONYO SOUTH,130814.0,61663.0,69151.0,30990.0,30693.0,297.0,256.0,511.0
RANGWE,117732.0,55404.0,62325.0,27003.0,26983.0,20.0,274.0,429.0
SUBA NORTH,124938.0,60530.0,64406.0,29766.0,29662.0,104.0,406.0,307.0
SUBA SOUTH,122383.0,59383.0,62998.0,27769.0,27635.0,134.0,634.0,193.0
MIGORI,1116436.0,536187.0,580214.0,240168.0,238133.0,2035.0,2613.0,427.0
AWENDO,117290.0,56348.0,60939.0,27033.0,27014.0,19.0,255.0,459.0
KURIA EAST,96872.0,46969.0,49894.0,17363.0,17267.0,96.0,188.0,516.0
KURIA WEST,208513.0,101090.0,107417.0,39781.0,39723.0,58.0,396.0,527.0
NYATIKE,176162.0,83989.0,92164.0,40257.0,39358.0,899.0,677.0,260.0
RONGO,124587.0,59257.0,65329.0,29087.0,29007.0,80.0,213.0,584.0
SUNA EAST,122674.0,58977.0,63694.0,27302.0,27214.0,88.0,205.0,598.0
SUNA WEST,128890.0,61430.0,67459.0,29251.0,28839.0,412.0,288.0,448.0
URIRI,141448.0,68127.0,73318.0,30094.0,29711.0,383.0,392.0,361.0
KISII,1266860.0,605784.0,661038.0,308054.0,307254.0,800.0,1323.0,957.0
ETAGO,83787.0,40137.0,43647.0,18610.0,18610.0,,108.0,773.0
GUCHA,83740.0,39631.0,44108.0,19657.0,19621.0,36.0,82.0,1020.0
GUCHA SOUTH,83623.0,40022.0,43598.0,19732.0,19627.0,105.0,95.0,878.0
KENYENYA,131740.0,62859.0,68878.0,30989.0,30985.0,4.0,142.0,930.0
KISII CENTRAL,166906.0,81330.0,85573.0,44311.0,44037.0,274.0,136.0,1229.0
KISII SOUTH,135134.0,64514.0,70615.0,31696.0,31574.0,122.0,128.0,1054.0
KITUTU CENTRAL,154175.0,74608.0,79561.0,41271.0,41233.0,38.0,100.0,1537.0
MARANI,107464.0,50598.0,56864.0,26186.0,26133.0,53.0,128.0,837.0
MASABA SOUTH,122396.0,58143.0,64248.0,29232.0,29206.0,26.0,161.0,759.0
NYAMACHE,130898.0,62113.0,68782.0,30712.0,30583.0,129.0,163.0,805.0
SAMETA,66997.0,31829.0,35164.0,15658.0,15645.0,13.0,79.0,847.0
NYAMIRA,605576.0,290907.0,314656.0,150669.0,150499.0,170.0,897.0,675.0
BORABU,73167.0,36736.0,36431.0,19468.0,19404.0,64.0,247.0,296.0
MANGA,94209.0,44868.0,49339.0,23869.0,23836.0,33.0,111.0,845.0
MASABA NORTH,111860.0,52884.0,58974.0,27913.0,27904.0,9.0,142.0,789.0
NYAMIRA NORTH,167267.0,80314.0,86947.0,40446.0,40396.0,50.0,216.0,775.0
NYAMIRA SOUTH,159073.0,76105.0,82965.0,38973.0,38959.0,14.0,182.0,876.0
NAIROBI CITY,4397073.0,2192452.0,2204376.0,1506888.0,1494676.0,12212.0,704.0,6247.0
DAGORETTI,434208.0,217651.0,216526.0,155089.0,154949.0,140.0,29.0,14908.0
EMBAKASI,988808.0,492476.0,496270.0,347955.0,346462.0,1493.0,86.0,11460.0
KAMUKUNJI,268276.0,136670.0,131599.0,84365.0,83680.0,685.0,11.0,25455.0
KASARANI,780656.0,381234.0,399385.0,271290.0,268611.0,2679.0,86.0,9063.0
KIBRA,185777.0,94199.0,91569.0,61690.0,61651.0,39.0,12.0,15311.0
LANG'ATA,197489.0,96698.0,100774.0,62239.0,60187.0,2052.0,217.0,911.0
MAKADARA,189536.0,96369.0,93157.0,70361.0,70080.0,281.0,12.0,16150.0
MATHARE,206564.0,106522.0,100028.0,74967.0,74967.0,,3.0,68940.0
NJIRU,626482.0,307642.0,318809.0,204563.0,204492.0,71.0,130.0,4821.0
STAREHE,210423.0,109173.0,101238.0,69389.0,66108.0,3281.0,21.0,10205.0
WESTLANDS,308854.0,153818.0,155021.0,104980.0,103489.0,1491.0,98.0,3167.0
